Uncertainty source,Boston/T,Boston/R,Cornell/T,Cornell/A,Europa/T,Europa/A,Kentucky/Q,STJU/T,STJU/A,Washington/T,Washington/A
Input clock stability,0,0,0,0,0,0,0,0,0,0,0
Input clock upconversion factor,2,2,2,2,2,2,2,2,2,2,2
Time correction,0,0,5,7,0,0,0,0,0,0,0
Cluster time assignment,1,1,0,0,1,1,0,1,1,1,1
In-fill gain amplitude,8,3,4,4,25,22,5,3,2,15,14
In-fill gain time constant,20,12,6,6,0,0,8,2,1,0,0
STDP gain amplitude,0,0,0,0,,,0,0,0,1,3
STDP gain time constant,0,0,0,1,,,0,0,0,0,0
Residual gain variation,29,23,0,4,12,5,0,78,78,4,27
Pileup covariance matrix,0,0,0,0,0,0,15,0,0,0,0
Pileup amplitude,22,20,1,1,14,15,0,20,14,16,14
Pileup cluster time model,5,6,0,0,22,98,0,9,47,0,0
Pileup cluster energy model,11,11,0,0,,,0,,,0,0
Pileup phase,0,0,0,0,0,0,0,0,0,6,40
Pileup time/energy bias,0,0,0,0,0,0,0,0,0,0,0
Pileup rate error,,,21,0,,,0,,,0,0
Unseen pileup,1,1,3,1,0,0,0,5,0,10,10
Triple pileup correction,2,2,0,0,,,0,4,4,1,1
Artificial dead time,,,0,0,13,77,0,0,0,0,0
Pileup simulation,0,0,0,0,0,0,10,0,0,0,0
Muon loss covariance matrix,0,0,0,0,0,0,0,0,0,0,0
Muon loss time cuts,0,0,1,1,0,0,0,1,1,0,0
Muon loss energy cuts,1,0,0,0,0,0,0,1,1,0,0
Muon loss statistics,0,0,2,2,0,0,0,0,0,0,0
Muon loss detection efficiency,0,0,2,1,0,0,0,0,0,0,0
Muon loss scale fixed,0,1,0,0,0,0,0,0,0,0,0
Higher-order coincidences,0,0,0,0,1,1,17,1,1,0,0
CBO frequency change,11,5,4,6,10,12,6,6,7,17,19
CBO decoherence envelope model,38,6,23,24,,,4,18,20,27,26
CBO time constants,11,11,8,4,,,,,,,
CBO time constant fixed,0,0,0,0,0,0,0,0,0,0,0
Time randomization seed,30,33,7,7,32,29,0,23,27,16,16
Vertical drift,0,0,0,0,0,0,198,0,0,0,0
Muon precession period,0,2,0,0,0,0,0,0,0,0,0
Muon lifetime,0,0,0,0,0,0,0,0,0,0,0